label,message
ham,Are we still meeting near the library at 5 pm today
ham,Please send me the assignment notes when you get home
ham,Your class has been moved to room 304 for tomorrow morning
ham,Can you call me after dinner I need to discuss the project
ham,Thanks for the help today you explained the topic really well
ham,The OTP for your college portal login is 482199 do not share it
ham,I am outside the station let me know when you arrive
ham,Reminder your electricity bill has been paid successfully
ham,Happy birthday hope you have a great day ahead
ham,Meeting starts in ten minutes please join the lab on time
spam,Congratulations you have won a free smartphone click now to claim
spam,Urgent your bank account will be blocked verify your details immediately
spam,Win cash prize now reply YES to collect your reward today
spam,Exclusive offer get instant loan approval with zero documents apply now
spam,You have been selected for a lucky draw send your account number now
spam,Claim your free vacation package by clicking the secure link today
spam,Limited time deal buy one get three free visit this link now
spam,Your parcel is waiting pay a small fee using this link immediately
spam,Final reminder your reward points expire today redeem them now
spam,Dear user you won a lottery worth 50000 confirm your identity now
